x,y,i,j
10,10,0,0
32,54,0,1
10,98,0,2
32,142,0,3
10,186,0,4
32,230,0,5
10,274,0,6
32,318,0,7
10,362,0,8
32,406,0,9
10,450,0,10
32,494,0,11
10,538,0,12
32,582,0,13
10,626,0,14
32,670,0,15
10,714,0,16
32,758,0,17
10,802,0,18
32,846,0,19
10,890,0,20
32,934,0,21
54,10,1,0
76,54,1,1
54,98,1,2
76,142,1,3
54,186,1,4
76,230,1,5
54,274,1,6
76,318,1,7
54,362,1,8
76,406,1,9
54,450,1,10
76,494,1,11
54,538,1,12
76,582,1,13
54,626,1,14
76,670,1,15
54,714,1,16
76,758,1,17
54,802,1,18
76,846,1,19
54,890,1,20
76,934,1,21
98,10,2,0
120,54,2,1
98,98,2,2
120,142,2,3
98,186,2,4
120,230,2,5
98,274,2,6
120,318,2,7
98,362,2,8
120,406,2,9
98,450,2,10
120,494,2,11
98,538,2,12
120,582,2,13
98,626,2,14
120,670,2,15
98,714,2,16
120,758,2,17
98,802,2,18
120,846,2,19
98,890,2,20
120,934,2,21
142,10,3,0
164,54,3,1
142,98,3,2
164,142,3,3
142,186,3,4
164,230,3,5
142,274,3,6
164,318,3,7
142,362,3,8
164,406,3,9
142,450,3,10
164,494,3,11
142,538,3,12
164,582,3,13
142,626,3,14
164,670,3,15
142,714,3,16
164,758,3,17
142,802,3,18
164,846,3,19
142,890,3,20
164,934,3,21
186,10,4,0
208,54,4,1
186,98,4,2
208,142,4,3
186,186,4,4
208,230,4,5
186,274,4,6
208,318,4,7
186,362,4,8
208,406,4,9
186,450,4,10
208,494,4,11
186,538,4,12
208,582,4,13
186,626,4,14
208,670,4,15
186,714,4,16
208,758,4,17
186,802,4,18
208,846,4,19
186,890,4,20
208,934,4,21
230,10,5,0
252,54,5,1
230,98,5,2
252,142,5,3
230,186,5,4
252,230,5,5
230,274,5,6
252,318,5,7
230,362,5,8
252,406,5,9
230,450,5,10
252,494,5,11
230,538,5,12
252,582,5,13
230,626,5,14
252,670,5,15
230,714,5,16
252,758,5,17
230,802,5,18
252,846,5,19
230,890,5,20
252,934,5,21
274,10,6,0
296,54,6,1
274,98,6,2
296,142,6,3
274,186,6,4
296,230,6,5
274,274,6,6
296,318,6,7
274,362,6,8
296,406,6,9
274,450,6,10
296,494,6,11
274,538,6,12
296,582,6,13
274,626,6,14
296,670,6,15
274,714,6,16
296,758,6,17
274,802,6,18
296,846,6,19
274,890,6,20
296,934,6,21
318,10,7,0
340,54,7,1
318,98,7,2
340,142,7,3
318,186,7,4
340,230,7,5
318,274,7,6
340,318,7,7
318,362,7,8
340,406,7,9
318,450,7,10
340,494,7,11
318,538,7,12
340,582,7,13
318,626,7,14
340,670,7,15
318,714,7,16
340,758,7,17
318,802,7,18
340,846,7,19
318,890,7,20
340,934,7,21
362,10,8,0
384,54,8,1
362,98,8,2
384,142,8,3
362,186,8,4
384,230,8,5
362,274,8,6
384,318,8,7
362,362,8,8
384,406,8,9
362,450,8,10
384,494,8,11
362,538,8,12
384,582,8,13
362,626,8,14
384,670,8,15
362,714,8,16
384,758,8,17
362,802,8,18
384,846,8,19
362,890,8,20
384,934,8,21
406,10,9,0
428,54,9,1
406,98,9,2
428,142,9,3
406,186,9,4
428,230,9,5
406,274,9,6
428,318,9,7
406,362,9,8
428,406,9,9
406,450,9,10
428,494,9,11
406,538,9,12
428,582,9,13
406,626,9,14
428,670,9,15
406,714,9,16
428,758,9,17
406,802,9,18
428,846,9,19
406,890,9,20
428,934,9,21
450,10,10,0
472,54,10,1
450,98,10,2
472,142,10,3
450,186,10,4
472,230,10,5
450,274,10,6
472,318,10,7
450,362,10,8
472,406,10,9
450,450,10,10
472,494,10,11
450,538,10,12
472,582,10,13
450,626,10,14
472,670,10,15
450,714,10,16
472,758,10,17
450,802,10,18
472,846,10,19
450,890,10,20
472,934,10,21
494,10,11,0
516,54,11,1
494,98,11,2
516,142,11,3
494,186,11,4
516,230,11,5
494,274,11,6
516,318,11,7
494,362,11,8
516,406,11,9
494,450,11,10
516,494,11,11
494,538,11,12
516,582,11,13
494,626,11,14
516,670,11,15
494,714,11,16
516,758,11,17
494,802,11,18
516,846,11,19
494,890,11,20
516,934,11,21
538,10,12,0
560,54,12,1
538,98,12,2
560,142,12,3
538,186,12,4
560,230,12,5
538,274,12,6
560,318,12,7
538,362,12,8
560,406,12,9
538,450,12,10
560,494,12,11
538,538,12,12
560,582,12,13
538,626,12,14
560,670,12,15
538,714,12,16
560,758,12,17
538,802,12,18
560,846,12,19
538,890,12,20
560,934,12,21
