x,y,i,j,0
0,0,0,0,0
7.5,15,0,1,0
0,30,0,2,0
7.5,45,0,3,0
0,60,0,4,0
7.5,75,0,5,0
0,90,0,6,0
7.5,105,0,7,0
0,120,0,8,0
7.5,135,0,9,0
0,150,0,10,0
7.5,165,0,11,0
0,180,0,12,0
7.5,195,0,13,0
0,210,0,14,0
7.5,225,0,15,0
0,240,0,16,0
7.5,255,0,17,0
0,270,0,18,0
7.5,285,0,19,0
0,300,0,20,0
15,0,1,0,0
22.5,15,1,1,0
15,30,1,2,0
22.5,45,1,3,0
15,60,1,4,0
22.5,75,1,5,0
15,90,1,6,0
22.5,105,1,7,0
15,120,1,8,0
22.5,135,1,9,0
15,150,1,10,0
22.5,165,1,11,0
15,180,1,12,0
22.5,195,1,13,0
15,210,1,14,0
22.5,225,1,15,0
15,240,1,16,0
22.5,255,1,17,0
15,270,1,18,0
22.5,285,1,19,0
15,300,1,20,0
30,0,2,0,0
37.5,15,2,1,0
30,30,2,2,0
37.5,45,2,3,0
30,60,2,4,0
37.5,75,2,5,0
30,90,2,6,0
37.5,105,2,7,0
30,120,2,8,0
37.5,135,2,9,0
30,150,2,10,0
37.5,165,2,11,0
30,180,2,12,0
37.5,195,2,13,0
30,210,2,14,0
37.5,225,2,15,0
30,240,2,16,0
37.5,255,2,17,0
30,270,2,18,0
37.5,285,2,19,0
30,300,2,20,0
45,0,3,0,0
52.5,15,3,1,0
45,30,3,2,0
52.5,45,3,3,0
45,60,3,4,0
52.5,75,3,5,0
45,90,3,6,0
52.5,105,3,7,0
45,120,3,8,0
52.5,135,3,9,0
45,150,3,10,0
52.5,165,3,11,0
45,180,3,12,0
52.5,195,3,13,0
45,210,3,14,0
52.5,225,3,15,0
45,240,3,16,0
52.5,255,3,17,0
45,270,3,18,0
52.5,285,3,19,0
45,300,3,20,0
60,0,4,0,0
67.5,15,4,1,0
60,30,4,2,0
67.5,45,4,3,0
60,60,4,4,0
67.5,75,4,5,0
60,90,4,6,0
67.5,105,4,7,0
60,120,4,8,0
67.5,135,4,9,0
60,150,4,10,0
67.5,165,4,11,0
60,180,4,12,0
67.5,195,4,13,0
60,210,4,14,0
67.5,225,4,15,0
60,240,4,16,0
67.5,255,4,17,0
60,270,4,18,0
67.5,285,4,19,0
60,300,4,20,0
75,0,5,0,0
82.5,15,5,1,0
75,30,5,2,0
82.5,45,5,3,0
75,60,5,4,0
82.5,75,5,5,0
75,90,5,6,0
82.5,105,5,7,0
75,120,5,8,0
82.5,135,5,9,0
75,150,5,10,0
82.5,165,5,11,0
75,180,5,12,0
82.5,195,5,13,0
75,210,5,14,0
82.5,225,5,15,0
75,240,5,16,0
82.5,255,5,17,0
75,270,5,18,0
82.5,285,5,19,0
75,300,5,20,0
90,0,6,0,0
97.5,15,6,1,0
90,30,6,2,0
97.5,45,6,3,0
90,60,6,4,0
97.5,75,6,5,0
90,90,6,6,0
97.5,105,6,7,0
90,120,6,8,0
97.5,135,6,9,0
90,150,6,10,0
97.5,165,6,11,0
90,180,6,12,0
97.5,195,6,13,0
90,210,6,14,0
97.5,225,6,15,0
90,240,6,16,0
97.5,255,6,17,0
90,270,6,18,0
97.5,285,6,19,0
90,300,6,20,0
105,0,7,0,0
112.5,15,7,1,0
105,30,7,2,0
112.5,45,7,3,0
105,60,7,4,0
112.5,75,7,5,0
105,90,7,6,0
112.5,105,7,7,0
105,120,7,8,0
112.5,135,7,9,0
105,150,7,10,0
112.5,165,7,11,0
105,180,7,12,0
112.5,195,7,13,0
105,210,7,14,0
112.5,225,7,15,0
105,240,7,16,0
112.5,255,7,17,0
105,270,7,18,0
112.5,285,7,19,0
105,300,7,20,0
120,0,8,0,0
127.5,15,8,1,0
120,30,8,2,0
127.5,45,8,3,0
120,60,8,4,0
127.5,75,8,5,0
120,90,8,6,0
127.5,105,8,7,0
120,120,8,8,0
127.5,135,8,9,0
120,150,8,10,0
127.5,165,8,11,0
120,180,8,12,0
127.5,195,8,13,0
120,210,8,14,0
127.5,225,8,15,0
120,240,8,16,0
127.5,255,8,17,0
120,270,8,18,0
127.5,285,8,19,0
120,300,8,20,0
135,0,9,0,0
142.5,15,9,1,0
135,30,9,2,0
142.5,45,9,3,0
135,60,9,4,0
142.5,75,9,5,0
135,90,9,6,0
142.5,105,9,7,0
135,120,9,8,0
142.5,135,9,9,0
135,150,9,10,0
142.5,165,9,11,0
135,180,9,12,0
142.5,195,9,13,0
135,210,9,14,0
142.5,225,9,15,0
135,240,9,16,0
142.5,255,9,17,0
135,270,9,18,0
142.5,285,9,19,0
135,300,9,20,0
150,0,10,0,0
157.5,15,10,1,0
150,30,10,2,0
157.5,45,10,3,0
150,60,10,4,0
157.5,75,10,5,0
150,90,10,6,0
157.5,105,10,7,0
150,120,10,8,0
157.5,135,10,9,0
150,150,10,10,0
157.5,165,10,11,0
150,180,10,12,0
157.5,195,10,13,0
150,210,10,14,0
157.5,225,10,15,0
150,240,10,16,0
157.5,255,10,17,0
150,270,10,18,0
157.5,285,10,19,0
150,300,10,20,0
165,0,11,0,0
172.5,15,11,1,0
165,30,11,2,0
172.5,45,11,3,0
165,60,11,4,0
172.5,75,11,5,0
165,90,11,6,0
172.5,105,11,7,0
165,120,11,8,0
172.5,135,11,9,0
165,150,11,10,0
172.5,165,11,11,0
165,180,11,12,0
172.5,195,11,13,0
165,210,11,14,0
172.5,225,11,15,0
165,240,11,16,0
172.5,255,11,17,0
165,270,11,18,0
172.5,285,11,19,0
165,300,11,20,0
180,0,12,0,0
187.5,15,12,1,0
180,30,12,2,0
187.5,45,12,3,0
180,60,12,4,0
187.5,75,12,5,0
180,90,12,6,0
187.5,105,12,7,0
180,120,12,8,0
187.5,135,12,9,0
180,150,12,10,0
187.5,165,12,11,0
180,180,12,12,0
187.5,195,12,13,0
180,210,12,14,0
187.5,225,12,15,0
180,240,12,16,0
187.5,255,12,17,0
180,270,12,18,0
187.5,285,12,19,0
180,300,12,20,0
195,0,13,0,0
202.5,15,13,1,0
195,30,13,2,0
202.5,45,13,3,0
195,60,13,4,0
202.5,75,13,5,0
195,90,13,6,0
202.5,105,13,7,0
195,120,13,8,0
