number, postalcode, district, msg
1, 225489, 9, "sdsdfsfdf"
2, 114587, 4, "uhuiuiu"
3, 158769, 5, "hfgghfghfh"
4, 486069, 17, "Tyehs"
5, 486069, 17, "Ghjk"
6, 115478, 4, "asasd"
7, 248965, 10, "dsdsdsd"
8, 486069, 17, "Hooo"
9, 487069, 17, "Jdmdms"
10, 486069, 17, "Fifif"
11, 246307, 10, "Ydbhhb"
12, 461033, 16, "Yeah"
13, 138036, 5, "Jdmnsms"
14, 248440, 10, "Happy Birthday</br>"
15, 248440, 10, ""
16, 248440, 10, "Happy 50th!"
17, 248440, 10, "Happy 50th"
18, 248440, 10, "What the"
19, 486069, 17, "Happy birthday"
20, 480699, 17, "Y"
21, 130036, 5, "Urhddks"
22, 213890, 9, "Yejjssk"
23, 461033, 16, "Eee"
24, 111111, 4, "DHdjkfv"
25, 461033, 16, "HELLLO"
26, 461033, 16, "Aaaaa"
27, 461033, 16, "Alalalal"
28, 590001, 21, "Woohoo"
29, 590001, 21, "Yaman</br>"
30, 590001, 21, "Boo"
31, 590001, 21, "Hoio"
32, 461022, 16, "JDjdjjfnf"
33, 456800, 16, ""
34, 111111, 4, "Ggbhf bhghh"
35, 486086, 17, "Ughjk"
36, 486069, 17, "Ydjssj"
37, 485319, 17, "Udjjss"
38, 486068, 17, "Sthffh"
39, 486069, 17, "Rudiri"
40, 466098, 16, "Ryhfnn"
41, 486069, 17, "Djckfmck"
42, 123456, 4, "Oejsnka"
43, 328689, 12, "Heisha"
44, 486069, 17, "Yuck"
45, 486069, 17, "Fiififof"
46, 448578, 15, "Yrjjsk"
47, 425879, 15, "Hello"
48, 312459, 12, "Yebdksjsoffbejslslasvsklsb hsgs hsvsg shhsb shshs hdhevd djdj"
49, 124578, 4, "Happy b day!!! Sjzb sjzvs jzhqbz bssb"
50, 346757, 13, ""
51, 125478, 4, "vs hsb ushs hsh hsh"
52, 245789, 10, "Gthe hri jfj"
53, 245874, 10, "Chh"
54, 528464, 18, "Flgn</br>"
55, 254789, 10, "Vsyk cj"
56, 354218, 13, "Sy ifbsh dh"
57, 356879, 13, "Test 1"
58, 124536, 4, "Gauw ksowb jsks "
59, 124375, 4, ""
60, 486069, 17, "Teusjs"
61, 130036, 5, "Hdbsan"
62, 135478, 5, "Gsh"
63, 457689, 16, ""
64, 254789, 10, ""
65, 248440, 10, "Best wishes"
66, 520496, 18, "Dreamm"
67, 556113, 19, ""
68, 570301, 20, ""
69, 590001, 21, "Hoio"
70, 528799, 18, "Ggg"
71, 731001, 25, "Independence "
72, 510716, 18, "Hello world"
73, 590001, 21, "hoadfad</br>"
74, 336587, 13, "Test messgae : Anusha"
75, 590001, 21, "dfasdf"
76, 254879, 10, "teshhs"
77, 125888, 4, "hkkjr"
78, 555555, 19, "frrg</br>"
79, 777777, 27, "fekfhkf</br>"
80, 248440, 10, ""
81, 590001, 21, "Hoio"
82, 485998, 17, "Pewpewpew"
83, 590001, 21, "yowza"
84, 530666, 19, "Dream"
85, 486326, 17, "Innovation :)"
86, 570135, 20, "Hello</br>"
87, 570213, 20, "Happy Bday SG"
88, 119611, 4, "I dream that Singapore is forever young."
89, 458769, 16, ""
90, 254789, 10, ""
91, 214587, 9, ""
92, 154786, 5, ""
93, 276516, 11, "Peace"
94, 183512, 7, "I want to be president"
95, 535140, 19, "Socially conducive space with total cohesiveness"
96, 456809, 16, "kjef"
97, 507000, 17, "Making Singapore a smart city"
98, 507000, 17, "Making Singapore as a smart nation"
99, 555030, 19, "Stay prosperous "
100, 486069, 17, ""
101, 487372, 17, "Helloo"
102, 238274, 10, "Testing 1 2 3"
103, 750409, 26, "Let's rock and roll!!! By shinn_freedom"
104, 508614, 17, "Innovating the world"
105, 485995, 17, "Gukk"
106, 600203, 21, "A nation that loves God and His people"
107, 486842, 17, "Hi Singapore"
108, 310225, 12, ""
109, 560171, 19, "Stay safe forever "
110, 389754, 14, "supercalifragilisticexpialidocious"
111, 487372, 17, "Dusjansk"
112, 590001, 21, "Who hoo"
113, 590001, 21, "Ghhg"
114, 590001, 21, "Hhg"
115, 590012, 21, "Vcfy"
116, 590001, 21, "Gfder"
117, 719026, 24, "Hhidfg"
118, 648759, 22, "Vsvs"
119, 0, 1, ""
120, 123456, 4, "You!"
121, 511119, 18, ""
122, 511119, 18, "Singapore The City of progress."
123, 544255, 19, ""
124, 487372, 17, "Great nation for another 50 years and more"
125, 487372, 17, "Gujb"
126, 486069, 17, ""
127, 465591, 16, "A sunny snowy Christmas!"
128, 187465, 7, ""
129, 89768, 3, ""
130, 680607, 23, "A historical and cultural nation with futuristic design and cutting edge technology incorporated into daily living."
131, 90105, 3, "World Peace!"
132, 487372, 17, "ehe;;ss"
133, 784523, 27, "test</br>"
134, 248440, 10, "Happiness"
135, 488067, 17, ""
136, 590001, 21, "Hhidfgy"
137, 524376, 18, ""
138, 245786, 10, ""
139, 248440, 10, "Happy SG"
140, 485996, 17, ""
141, 167026, 6, ""
142, 339411, 13, "World peace"
143, 670543, 23, "Prosperity, progress, peace and equality!"
144, 469296, 16, "for singaporeans to be happier with less:]"
145, 485995, 17, "Happy birthday Singapore!"
146, 590001, 21, "lkjlkj"
147, 590001, 21, "asdfsda"
148, 590001, 21, "Fdyh"
149, 590001, 21, "Gfse"
150, 321468, 12, "Test Anusha "
151, 335489, 13, "Test annusha</br>"
152, 468066, 16, "Yehsjs"
153, 130635, 5, "Hevbaal"
154, 786697, 27, "Hdwke"
155, 123456, 4, "Usus"
156, 590001, 21, "Cool"
157, 719026, 24, ""
158, 18982, 1, "Yyh"
159, 254789, 10, ""
160, 138595, 5, ""
161, 590001, 21, "Yududufy"
162, 670155, 23, "Progress!"
163, 325689, 12, "asasas"
164, 254682, 10, "Test anusha"
165, 225555, 9, "test anusha"
166, 587463, 20, ""
167, 254685, 10, "Test anusha"
168, 486535, 17, "Dhad"
169, 489621, 17, "Fbsdbf"
170, 486326, 17, "Innovation"
171, 785555, 27, "Gewgg"
172, 345789, 13, "G"
173, 541789, 19, ""
174, 590001, 21, "Htr5hgf"
175, 458754, 16, "Hehfesg"
176, 335655, 13, "Test anusha"
177, 481234, 17, "Innovation"
178, 650146, 22, "Hey!"
179, 485697, 17, ""
180, 590001, 21, "Hfjvg"
181, 156987, 5, "Cdsggfd"
182, 129790, 4, "Love"
183, 590001, 21, "Utu"
184, 254885, 10, "Hfhkif"
185, 129790, 4, ""
186, 650146, 22, "You"
187, 265444, 10, "Yhgdgh"
188, 487372, 17, ""
189, 424795, 15, ""
190, 485998, 17, ""
191, 482668, 17, "Innovation"
192, 485998, 17, ""
193, 330007, 13, "Stay forever a safe haven for anyone:)"
194, 485991, 17, "More time to sleep"
195, 485999, 17, ""
196, 167026, 6, ""
197, 485998, 17, "pee"
198, 530539, 19, ""
199, 426078, 15, ""
200, 521233, 18, "Sup bro"
201, 448879, 15, "Getting stronger"
202, 161120, 6, "Jiayou for pin up guys! "
203, 485998, 17, "Peace"
204, 487372, 17, "Singapore hooray"
205, 650626, 22, "Greenery"
206, 786541, 27, "Free materials forever"
207, 485995, 17, "Awesome designs for the next 50 years!"
208, 485998, 17, ""
209, 590001, 21, ""
210, 537327, 19, ""
211, 536019, 19, ""
212, 485995, 17, "Happy 50th Birthday Singapore! "
213, 760114, 26, "Humility and prosperity"
214, 520131, 18, "#BuyARTPOPOniTunes"
215, 448851, 15, "Fototot"
216, 510641, 18, "Dedicated cycling routes, bike sharing"
217, 487372, 17, "Invade malaysia"
218, 618480, 22, "Yay"
219, 485999, 17, ""
220, 791441, 28, "Hello world"
221, 439845, 15, "To grow bigger"
222, 535689, 19, "Good economy"
223, 698987, 23, "Towards a brighter future ahead "
224, 530532, 19, "Dynamic and green architecture everywhere!"
